policy_no;class;start_date;end_date;premium;premium_re
10145;307;2020-09-29;2021-09-30;42528;0
10146;305;2020-07-20;2021-07-21;34050;0
10147;307;2020-03-22;2021-03-23;22720;0
10148;102;2020-08-19;2021-08-20;38411;29872
10149;307;2020-04-18;2021-04-19;15955;0
10150;301;2020-01-06;2021-01-06;27844;0
10151;102;2020-06-07;2021-06-08;21611;0
10152;301;2020-10-14;2021-10-15;20035;0
10153;306;2020-01-14;2021-01-14;11834;0
10154;307;2020-03-09;2021-03-10;27002;0
10155;102;2020-09-30;2021-10-01;21571;2494
10156;102;2020-11-05;2021-11-06;19574;0
10157;308;2020-06-14;2021-06-15;17103;0
10158;307;2020-07-24;2021-07-25;16796;14719
10159;305;2020-10-14;2021-10-15;30830;13857
10160;102;2020-06-11;2021-06-12;47522;0
10161;101;2020-05-03;2021-05-04;25397;0
10162;305;2020-10-11;2021-10-12;31748;0
10163;308;2020-02-05;2021-02-05;37820;0
10164;305;2020-09-16;2021-09-17;11083;0
10165;101;2020-05-04;2021-05-05;47146;0
10166;307;2020-09-22;2021-09-23;45875;0
10167;305;2020-06-03;2021-06-04;32685;16426
10168;305;2020-11-06;2021-11-07;42402;0
10169;102;2020-02-26;2021-02-26;26790;2537
10170;308;2020-07-18;2021-07-19;25642;0
10171;102;2020-11-17;2021-11-18;40014;0
10172;306;2020-04-01;2021-04-02;25813;0
10173;102;2020-07-26;2021-07-27;44940;0
10174;306;2020-08-22;2021-08-23;42921;0
10175;102;2020-10-15;2021-10-16;14919;0
10176;307;2020-08-14;2021-08-15;20144;0
10177;308;2020-05-02;2021-05-03;41805;0
10178;305;2020-09-18;2021-09-19;15896;0
10179;102;2020-07-22;2021-07-23;44402;30841
10180;301;2020-07-15;2021-07-16;31324;19076
10181;102;2020-08-14;2021-08-15;35342;15258
10182;305;2020-09-14;2021-09-15;44681;0
10183;101;2020-07-20;2021-07-21;45794;0
10184;308;2020-07-05;2021-07-06;34855;0
10185;102;2020-06-19;2021-06-20;30325;0
10186;301;2020-04-25;2021-04-26;29015;0
10187;301;2020-11-18;2021-11-19;20749;0
10188;306;2020-11-20;2021-11-21;14928;7541
10189;301;2020-04-13;2021-04-14;31134;0
10190;306;2020-03-14;2021-03-15;10382;0
10191;307;2020-09-18;2021-09-19;27864;26639
10192;308;2020-07-14;2021-07-15;19689;10490
10193;307;2020-11-11;2021-11-12;27102;0
10194;308;2020-09-19;2021-09-20;11189;0
10195;308;2020-05-17;2021-05-18;14608;0
10196;101;2020-07-15;2021-07-16;42040;0
10197;301;2020-09-16;2021-09-17;37322;0
10198;307;2020-09-23;2021-09-24;39689;33984
10199;306;2020-01-29;2021-01-29;32430;14107
10200;307;2020-01-17;2021-01-17;37217;0
10201;102;2020-04-21;2021-04-22;25206;0
10202;305;2020-08-07;2021-08-08;25096;21715
10203;306;2020-11-02;2021-11-03;32159;0
10204;101;2020-11-16;2021-11-17;16259;0
10205;301;2020-10-15;2021-10-16;25338;0
10206;301;2020-08-26;2021-08-27;32816;12389
10207;305;2020-07-10;2021-07-11;14976;13376
10208;307;2020-12-04;2021-12-05;45580;0
10209;102;2020-06-26;2021-06-27;44739;0
10210;102;2020-12-02;2021-12-03;47084;0
10211;301;2020-11-09;2021-11-10;31295;29579
10212;307;2020-04-23;2021-04-24;43452;0
10213;101;2020-11-11;2021-11-12;17129;144
10214;305;2020-01-08;2021-01-08;17197;0
10215;102;2020-04-30;2021-05-01;35148;0
10216;301;2020-10-19;2021-10-20;31047;16661
10217;102;2020-06-28;2021-06-29;42701;0
10218;102;2020-09-10;2021-09-11;43855;0
10219;307;2020-05-23;2021-05-24;24118;0
10220;307;2020-03-20;2021-03-21;47294;0
10221;306;2020-07-29;2021-07-30;48444;0
10222;102;2020-10-01;2021-10-02;38107;0
10223;306;2020-10-08;2021-10-09;14162;0
10224;308;2020-08-29;2021-08-30;24846;0
10225;306;2020-01-08;2021-01-08;11065;0
10226;306;2020-05-07;2021-05-08;35687;21864
10227;307;2020-09-11;2021-09-12;48332;26929
10228;301;2020-05-28;2021-05-29;43747;0
10229;102;2020-09-22;2021-09-23;25162;0
10230;102;2020-01-13;2021-01-13;33372;0
10231;307;2020-02-18;2021-02-18;35644;0
10232;102;2020-01-30;2021-01-30;39836;21841
10233;307;2020-03-18;2021-03-19;14947;1054
10234;101;2020-05-15;2021-05-16;39752;0
10235;301;2020-04-12;2021-04-13;31139;0
10236;305;2020-03-03;2021-03-04;20779;0
10237;305;2020-05-22;2021-05-23;35579;0
10238;102;2020-07-18;2021-07-19;23416;0
10239;307;2020-07-15;2021-07-16;45930;0
10240;301;2020-06-07;2021-06-08;43713;0
10241;306;2020-06-27;2021-06-28;11879;11219
10242;301;2020-11-09;2021-11-10;31198;0
10243;102;2020-05-16;2021-05-17;47749;0
10244;301;2020-06-04;2021-06-05;34291;0
10245;306;2020-12-23;2021-12-24;13337;0
10246;307;2020-02-07;2021-02-07;48047;21141
10247;306;2020-07-02;2021-07-03;42184;0
10248;101;2020-12-04;2021-12-05;25353;0
10249;301;2020-10-05;2021-10-06;42309;0
10250;301;2020-08-21;2021-08-22;32847;0
10251;306;2020-09-08;2021-09-09;47252;0
10252;305;2020-06-10;2021-06-11;29451;0
10253;305;2020-09-27;2021-09-28;45526;0
10254;101;2020-09-28;2021-09-29;32747;0
10255;301;2020-04-28;2021-04-29;21355;12053
10256;301;2020-07-06;2021-07-07;11179;0
10257;101;2020-11-07;2021-11-08;30540;22501
10258;101;2020-04-03;2021-04-04;24329;18425
10259;301;2020-10-22;2021-10-23;12020;0
10260;306;2020-04-06;2021-04-07;27440;0
10261;308;2020-01-09;2021-01-09;14285;0
10262;308;2020-12-29;2021-12-30;20368;0
10263;306;2020-07-08;2021-07-09;27057;1036
10264;306;2020-09-04;2021-09-05;28001;0
10265;301;2020-12-09;2021-12-10;48568;0
10266;301;2020-05-10;2021-05-11;22816;0
10267;102;2020-06-21;2021-06-22;42709;1008
10268;101;2020-01-04;2021-01-04;36597;0
10269;101;2020-11-14;2021-11-15;36117;7212
10270;306;2020-11-21;2021-11-22;27536;0
10271;101;2020-03-12;2021-03-13;38015;0
10272;305;2020-03-14;2021-03-15;39445;0
10273;305;2020-07-10;2021-07-11;10849;0
10274;307;2020-08-21;2021-08-22;40116;0
10275;308;2020-05-09;2021-05-10;24826;2488
10276;301;2020-08-18;2021-08-19;31695;0
10277;102;2020-06-30;2021-07-01;39318;0
10278;101;2020-01-04;2021-01-04;44505;12300
10279;301;2020-01-01;2021-01-01;49127;0
10280;305;2020-07-27;2021-07-28;28585;0
10281;306;2020-04-30;2021-05-01;18976;0
10282;305;2020-12-19;2021-12-20;28240;14169
10283;307;2020-02-15;2021-02-15;31363;0
10284;305;2020-04-27;2021-04-28;47125;0
10285;305;2020-07-09;2021-07-10;35081;0
10286;102;2020-06-04;2021-06-05;19507;0
10287;101;2020-03-02;2021-03-03;27633;0
10288;305;2020-08-25;2021-08-26;18671;0
10289;306;2020-02-18;2021-02-18;42387;0
10290;308;2020-04-06;2021-04-07;31370;0
10291;301;2020-03-26;2021-03-27;35061;0
10292;101;2020-09-06;2021-09-07;42333;0
10293;305;2020-11-26;2021-11-27;48239;18431
10294;301;2020-03-01;2021-03-02;34727;0
10295;307;2020-08-06;2021-08-07;10855;3115
10296;307;2020-08-19;2021-08-20;47513;0
10297;301;2020-01-16;2021-01-16;14870;0
10298;101;2020-06-27;2021-06-28;11432;0
10299;102;2020-05-01;2021-05-02;48801;0
10300;102;2020-10-09;2021-10-10;18104;0
10301;307;2020-09-02;2021-09-03;27172;0
10302;101;2020-01-25;2021-01-25;35811;0
10303;306;2020-05-07;2021-05-08;37450;0
10304;306;2020-09-09;2021-09-10;35440;33440
10305;102;2020-02-07;2021-02-07;31795;0
10306;306;2020-10-05;2021-10-06;36340;0
10307;306;2020-08-10;2021-08-11;16621;12263
10308;308;2020-03-23;2021-03-24;39958;0
10309;306;2020-12-18;2021-12-19;29259;0
10310;306;2020-06-06;2021-06-07;48180;9077
10311;301;2020-12-13;2021-12-14;37369;0
10312;101;2020-04-20;2021-04-21;41213;16852
10313;306;2020-03-27;2021-03-28;23389;0
10314;102;2020-09-17;2021-09-18;39878;8859
10315;305;2020-08-09;2021-08-10;33925;0
10316;305;2020-02-01;2021-02-01;45641;0
10317;308;2020-03-08;2021-03-09;49907;22302
10318;101;2020-05-25;2021-05-26;31973;0
10319;306;2020-12-19;2021-12-20;17156;10579
10320;306;2020-03-10;2021-03-11;40219;700
10321;301;2020-08-30;2021-08-31;31121;0
10322;308;2020-03-11;2021-03-12;44982;0
10323;305;2020-01-11;2021-01-11;29252;0
10324;102;2020-04-30;2021-05-01;24595;0
10325;307;2020-07-29;2021-07-30;29548;0
10326;308;2020-03-16;2021-03-17;44117;26844
10327;305;2020-09-26;2021-09-27;27764;0
10328;306;2020-03-05;2021-03-06;11645;0
10329;102;2020-06-30;2021-07-01;21192;0
10330;308;2020-05-05;2021-05-06;34257;0
10331;308;2020-10-08;2021-10-09;17180;0
10332;306;2020-03-31;2021-04-01;40824;0
10333;101;2020-06-09;2021-06-10;11355;0
10334;307;2020-06-07;2021-06-08;38209;0
10335;101;2020-07-07;2021-07-08;34709;0
10336;307;2020-06-21;2021-06-22;23479;0
10337;306;2020-03-08;2021-03-09;33131;0
10338;307;2020-08-18;2021-08-19;28751;0
10339;102;2020-03-29;2021-03-30;35704;0
10340;307;2020-07-16;2021-07-17;22626;0
10341;101;2020-07-25;2021-07-26;21285;0
10342;301;2020-11-13;2021-11-14;17631;0
10343;101;2020-03-15;2021-03-16;18976;5394
10344;101;2020-11-04;2021-11-05;34929;0
10345;305;2020-07-17;2021-07-18;34520;0
10346;307;2020-12-04;2021-12-05;19855;0
10347;101;2020-02-15;2021-02-15;39235;2602
10348;306;2020-12-19;2021-12-20;15029;6658
10349;308;2020-07-16;2021-07-17;48403;0
10350;101;2020-09-10;2021-09-11;37518;0
10351;101;2020-11-26;2021-11-27;13318;0
10352;307;2020-08-30;2021-08-31;35929;0
10353;301;2020-05-03;2021-05-04;40211;0
10354;301;2020-09-16;2021-09-17;46305;0
10355;301;2020-09-07;2021-09-08;25508;0
10356;102;2020-01-25;2021-01-25;34677;8652
10357;307;2020-09-23;2021-09-24;17350;0
10358;101;2020-10-12;2021-10-13;30822;104
10359;307;2020-07-24;2021-07-25;10028;0
10360;102;2020-10-27;2021-10-28;31846;28484
10361;301;2020-01-10;2021-01-10;32736;0
10362;305;2020-01-24;2021-01-24;31528;0
10363;306;2020-12-20;2021-12-21;37191;0
10364;307;2020-03-06;2021-03-07;27484;0
10365;306;2020-02-12;2021-02-12;10427;0
10366;102;2020-10-16;2021-10-17;32543;4098
10367;305;2020-06-19;2021-06-20;49893;24929
10368;305;2020-12-07;2021-12-08;15846;0
10369;102;2020-11-11;2021-11-12;23029;14082
10370;306;2020-09-13;2021-09-14;17023;13245
10371;307;2020-04-13;2021-04-14;11879;0
10372;301;2020-11-20;2021-11-21;21262;2909
10373;308;2020-02-26;2021-02-26;27695;0
10374;101;2020-08-11;2021-08-12;29672;0
10375;305;2020-08-09;2021-08-10;45532;0
10376;101;2020-12-28;2021-12-29;48703;0
10377;307;2020-10-01;2021-10-02;29435;23153
10378;307;2020-11-17;2021-11-18;27614;0
10379;301;2020-01-23;2021-01-23;20920;0
10380;301;2020-01-14;2021-01-14;25007;13051
10381;305;2020-12-27;2021-12-28;40273;0
10382;308;2020-05-31;2021-06-01;18101;0
10383;305;2020-03-06;2021-03-07;24627;0
10384;306;2020-01-17;2021-01-17;39245;0
10385;102;2020-10-05;2021-10-06;37328;6220
10386;301;2020-03-19;2021-03-20;18184;0
10387;301;2020-02-23;2021-02-23;49873;0
10388;305;2020-05-29;2021-05-30;21521;0
10389;305;2020-05-04;2021-05-05;32645;0
10390;306;2020-08-26;2021-08-27;48415;0
10391;101;2020-12-08;2021-12-09;38029;0
10392;102;2020-02-16;2021-02-16;33681;2475
10393;307;2020-12-05;2021-12-06;14876;0
10394;101;2020-02-19;2021-02-19;33646;0
10395;307;2020-12-12;2021-12-13;36877;0
10396;305;2020-08-14;2021-08-15;46189;2250
10397;102;2020-02-11;2021-02-11;29110;15664
10398;305;2020-04-21;2021-04-22;12322;0
10399;308;2020-02-23;2021-02-23;17154;0
10400;102;2020-09-01;2021-09-02;21577;0
10401;102;2020-05-15;2021-05-16;34871;0
10402;306;2020-12-09;2021-12-10;10897;0
10403;305;2020-07-16;2021-07-17;40790;0
10404;306;2020-12-20;2021-12-21;19927;16055
10405;307;2020-12-20;2021-12-21;22297;0
10406;102;2020-06-07;2021-06-08;26463;0
10407;308;2020-06-05;2021-06-06;34004;0
10408;301;2020-02-04;2021-02-04;37817;0
10409;301;2020-03-20;2021-03-21;10453;0
10410;307;2020-06-13;2021-06-14;11058;7995
10411;101;2020-07-22;2021-07-23;44363;0
10412;102;2020-10-08;2021-10-09;22592;0
10413;307;2020-04-05;2021-04-06;48344;0
10414;307;2020-08-28;2021-08-29;14378;0
10415;101;2020-09-10;2021-09-11;45573;0
10416;307;2020-05-19;2021-05-20;13628;0
10417;308;2020-11-28;2021-11-29;18183;7927
10418;101;2020-04-08;2021-04-09;19769;0
10419;306;2020-10-13;2021-10-14;49618;0
10420;305;2020-02-27;2021-02-27;25281;22515
10421;102;2020-10-20;2021-10-21;45190;0
10422;307;2020-11-14;2021-11-15;17444;0
10423;308;2020-12-20;2021-12-21;10959;9877
10424;101;2020-08-28;2021-08-29;14969;0
10425;306;2020-11-09;2021-11-10;12405;0
10426;301;2020-09-15;2021-09-16;33004;0
10427;307;2020-03-06;2021-03-07;13272;0
10428;101;2020-07-19;2021-07-20;13901;0
10429;301;2020-06-14;2021-06-15;21828;0
10430;101;2020-01-26;2021-01-26;19405;14059
10431;101;2020-02-24;2021-02-24;17951;0
10432;101;2020-03-14;2021-03-15;13656;0
10433;308;2020-11-19;2021-11-20;36296;0
10434;308;2020-05-20;2021-05-21;48955;0
10435;306;2020-09-25;2021-09-26;23342;19344
10436;102;2020-10-14;2021-10-15;17262;0
10437;101;2020-12-16;2021-12-17;35677;12134
10438;308;2020-07-08;2021-07-09;49236;0
10439;102;2020-01-31;2021-01-31;43599;0
10440;301;2020-02-20;2021-02-20;44334;0
10441;102;2020-06-19;2021-06-20;24134;0
10442;307;2020-08-18;2021-08-19;11963;1944
10443;308;2020-12-16;2021-12-17;24538;0
10444;305;2020-08-19;2021-08-20;15112;0
10445;101;2020-08-08;2021-08-09;20245;0
10446;306;2020-05-28;2021-05-29;34426;0
10447;305;2020-10-11;2021-10-12;41853;0
10448;305;2020-01-30;2021-01-30;42461;0
10449;301;2020-01-03;2021-01-03;40310;0
10450;101;2020-06-06;2021-06-07;23117;0
10451;301;2020-03-05;2021-03-06;17120;0
10452;102;2020-11-15;2021-11-16;17530;15056
10453;307;2020-07-14;2021-07-15;31424;0
10454;301;2020-01-29;2021-01-29;36571;0
10455;305;2020-07-07;2021-07-08;22281;11370
10456;301;2020-10-25;2021-10-26;29605;0
10457;102;2020-06-05;2021-06-06;43607;0
10458;307;2020-03-11;2021-03-12;28396;0
10459;308;2020-06-11;2021-06-12;34429;8322
10460;101;2020-10-07;2021-10-08;32900;0
10461;306;2020-05-13;2021-05-14;17559;0
10462;101;2020-12-31;2022-01-01;20446;5595
10463;308;2020-12-27;2021-12-28;22199;18615
10464;307;2020-01-03;2021-01-03;16382;15849
10465;308;2020-05-31;2021-06-01;25655;0
10466;101;2020-05-31;2021-06-01;48197;38038
10467;101;2020-03-13;2021-03-14;15166;0
10468;101;2020-12-10;2021-12-11;39759;0
10469;305;2020-04-25;2021-04-26;32247;0
10470;308;2020-06-01;2021-06-02;12913;0
10471;307;2020-01-16;2021-01-16;42683;0
10472;307;2020-02-19;2021-02-19;43105;13563
10473;307;2020-10-18;2021-10-19;49040;47805
10474;102;2020-08-05;2021-08-06;25677;0
10475;301;2020-02-01;2021-02-01;10571;0
10476;305;2020-12-09;2021-12-10;47159;0
10477;307;2020-10-11;2021-10-12;12737;0
10478;102;2020-11-14;2021-11-15;36698;32681
10479;301;2020-03-04;2021-03-05;45508;0
10480;306;2020-10-31;2021-11-01;47115;0
10481;101;2020-01-16;2021-01-16;24742;2808
10482;102;2020-05-18;2021-05-19;26071;0
10483;307;2020-08-19;2021-08-20;12455;0
10484;308;2020-07-16;2021-07-17;16040;0
10485;101;2020-08-01;2021-08-02;22165;0
10486;301;2020-09-28;2021-09-29;12118;2693
10487;305;2020-01-20;2021-01-20;30779;22022
10488;308;2020-07-19;2021-07-20;35010;0
10489;101;2020-12-21;2021-12-22;34164;0
10490;307;2020-03-25;2021-03-26;20613;16581
10491;307;2020-02-21;2021-02-21;23671;0
10492;308;2020-04-19;2021-04-20;39483;0
10493;308;2020-02-17;2021-02-17;32975;0
10494;102;2020-03-10;2021-03-11;19273;0
10495;305;2020-10-08;2021-10-09;39309;0
10496;308;2020-06-08;2021-06-09;18646;0
10497;308;2020-05-25;2021-05-26;29494;0
10498;308;2020-10-26;2021-10-27;10306;0
10499;102;2020-02-13;2021-02-13;43865;0
10500;102;2020-04-22;2021-04-23;49161;0
10501;102;2020-05-31;2021-06-01;43092;17745
10502;307;2020-07-01;2021-07-02;15112;9132
10503;101;2020-09-11;2021-09-12;42978;0
10504;101;2020-10-19;2021-10-20;13886;0
10505;301;2020-03-16;2021-03-17;12826;0
10506;102;2020-05-12;2021-05-13;46923;0
10507;306;2020-03-10;2021-03-11;15799;0
10508;307;2020-07-13;2021-07-14;17665;0
10509;102;2020-11-01;2021-11-02;42620;0
10510;101;2020-08-12;2021-08-13;32275;13772
10511;102;2020-12-25;2021-12-26;16286;0
10512;307;2020-12-05;2021-12-06;37726;0
10513;301;2020-03-27;2021-03-28;21444;0
10514;307;2020-09-04;2021-09-05;38513;27804
10515;308;2020-09-10;2021-09-11;43409;0
10516;102;2020-08-12;2021-08-13;40370;0
10517;301;2020-12-03;2021-12-04;48898;0
10518;307;2020-05-14;2021-05-15;15553;0
10519;301;2020-11-25;2021-11-26;36927;34592
10520;301;2020-11-17;2021-11-18;46652;0
10521;306;2020-01-18;2021-01-18;10480;0
10522;301;2020-12-17;2021-12-18;30418;0
10523;306;2020-11-28;2021-11-29;34325;0
10524;102;2020-02-06;2021-02-06;11655;0
10525;305;2020-12-06;2021-12-07;37553;0
10526;307;2020-04-03;2021-04-04;23130;0
10527;306;2020-01-09;2021-01-09;42799;0
10528;308;2020-08-19;2021-08-20;30262;9526
10529;301;2020-05-08;2021-05-09;31123;0
10530;306;2020-11-16;2021-11-17;26351;0
10531;308;2020-08-13;2021-08-14;33649;0
10532;301;2020-07-03;2021-07-04;24212;0
10533;308;2020-02-05;2021-02-05;45588;0
10534;102;2020-09-28;2021-09-29;30633;0
10535;301;2020-12-24;2021-12-25;35410;0
10536;308;2020-12-05;2021-12-06;30593;0
10537;102;2020-03-09;2021-03-10;40392;0
10538;101;2020-04-28;2021-04-29;32282;0
10539;301;2020-03-17;2021-03-18;34140;0
10540;308;2020-04-26;2021-04-27;11706;0
10541;101;2020-05-28;2021-05-29;44141;0
10542;301;2020-11-08;2021-11-09;16799;0
10543;307;2020-10-08;2021-10-09;25297;0
10544;101;2020-05-28;2021-05-29;15948;12832
10545;301;2020-12-15;2021-12-16;14544;0
10546;305;2020-12-21;2021-12-22;14948;0
10547;101;2020-01-29;2021-01-29;49142;0
10548;301;2020-06-02;2021-06-03;46589;0
10549;301;2020-03-14;2021-03-15;36896;0
10550;307;2020-08-11;2021-08-12;19932;0
10551;308;2020-05-02;2021-05-03;23292;0
10552;102;2020-03-28;2021-03-29;14249;0
10553;307;2020-11-25;2021-11-26;44362;0
10554;306;2020-10-17;2021-10-18;21039;0
10555;102;2020-07-14;2021-07-15;15812;0
10556;301;2020-07-25;2021-07-26;33147;0
10557;101;2020-02-25;2021-02-25;22620;0
10558;305;2020-08-18;2021-08-19;18493;0
10559;308;2020-10-19;2021-10-20;24123;0
10560;102;2020-12-17;2021-12-18;12083;0
10561;307;2020-03-29;2021-03-30;29199;0
10562;308;2020-06-19;2021-06-20;48086;0
10563;305;2020-12-11;2021-12-12;45348;0
10564;102;2020-11-26;2021-11-27;46877;0
10565;305;2020-06-08;2021-06-09;25017;0
10566;307;2020-05-21;2021-05-22;35014;0
10567;308;2020-12-14;2021-12-15;28812;0
10568;301;2020-01-15;2021-01-15;16450;0
10569;305;2020-07-07;2021-07-08;48962;0
10570;301;2020-03-28;2021-03-29;47926;0
10571;102;2020-01-17;2021-01-17;29058;0
10572;307;2020-05-10;2021-05-11;41275;0
10573;306;2020-12-21;2021-12-22;13948;0
10574;305;2020-09-18;2021-09-19;44509;0
10575;102;2020-09-09;2021-09-10;26084;0
